sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Direct Object,Indirect Object,"""Of"" Object",Mark,Subject,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb
"<p> The main methodological problem in testing for such bias is distinguishing liberal from conservative thinkers and positions , which , if one is searching for a universally applicable test , is difficult .","<p>/RB The/DT main/JJ methodological/JJ problem/NN in/IN testing/NN for/IN such/JJ bias/NN is/VBZ distinguishing/RB liberal/JJ from/IN conservative/JJ thinkers/NNS and/CC positions/NNS ,/, which/WDT ,/, if/IN one/PRP is/VBZ searching/VBG for/IN a/DT universally/RB applicable/JJ test/NN ,/, is/VBZ difficult/JJ ./.","advmod(liberal-13, <p>-1) det(problem-5, The-2) amod(problem-5, main-3) amod(problem-5, methodological-4) nsubj(liberal-13, problem-5) case(testing-7, in-6) nmod:in(problem-5, testing-7) case(bias-10, for-8) amod(bias-10, such-9) nmod:for(testing-7, bias-10) cop(liberal-13, is-11) advmod(liberal-13, distinguishing-12) root(ROOT-0, liberal-13) case(thinkers-16, from-14) amod(thinkers-16, conservative-15) nmod:from(liberal-13, thinkers-16) dep(difficult-33, thinkers-16) cc(thinkers-16, and-17) nmod:from(liberal-13, positions-18) conj:and(thinkers-16, positions-18) dep(difficult-33, positions-18) ref(thinkers-16, which-20) mark(searching-25, if-22) nsubj(searching-25, one-23) aux(searching-25, is-24) advcl(difficult-33, searching-25) case(test-30, for-26) det(test-30, a-27) advmod(applicable-29, universally-28) amod(test-30, applicable-29) nmod:for(searching-25, test-30) cop(difficult-33, is-32) acl:relcl(thinkers-16, difficult-33)  ",testing,7,"case(testing-7, in-6) nmod:for(testing-7, bias-10) nmod:in(problem-5, testing-7) ",The main methodological problem in testing for such bias is distinguishing,NN,[],,,,,[],[],[],[],[],"[('for', 'bias'), ('in', 'problem')]","['for', 'in']",['problem'],['bias'],[],[],[],[],[],[],[],['in'],[],[],,,singular,
"That is because they are the least "" objective , "" involving the least degree of testing , verification , confirmation , etc .","That/DT is/VBZ because/IN they/PRP are/VBP the/DT least/JJS ''/'' objective/NN ,/, ''/'' involving/VBG the/DT least/JJS degree/NN of/IN testing/NN ,/, verification/NN ,/, confirmation/NN ,/, etc/FW ./.","nsubj(is-2, That-1) root(ROOT-0, is-2) mark(least-7, because-3) nsubj(least-7, they-4) cop(least-7, are-5) det(least-7, the-6) advcl(is-2, least-7) dep(least-7, objective-9) acl(objective-9, involving-12) det(degree-15, the-13) amod(degree-15, least-14) dobj(involving-12, degree-15) case(confirmation-21, of-16) compound(confirmation-21, testing-17) conj(confirmation-21, verification-19) nmod:of(degree-15, confirmation-21) conj(confirmation-21, etc-23)  ",testing,17,"compound(confirmation-21, testing-17) ","involving the least degree of testing , verification , confirmation ,",NN,[],,,,,[],[],[],[],[],[],[],[],[],[],[],['confirmation'],[],[],[],[],[],[],[],,,singular,
"The fear of negative evaluation is not specific to a testing situation , but may be manifest in any social situation for which there is a potential for evaluation .","The/DT fear/NN of/IN negative/JJ evaluation/NN is/VBZ not/RB specific/JJ to/TO a/DT testing/VBG situation/NN ,/, but/CC may/MD be/VB manifest/JJ in/IN any/DT social/JJ situation/NN for/IN which/WDT there/EX is/VBZ a/DT potential/NN for/IN evaluation/NN ./.","det(fear-2, The-1) nsubj(specific-8, fear-2) nsubj(manifest-17, fear-2) case(evaluation-5, of-3) amod(evaluation-5, negative-4) nmod:of(fear-2, evaluation-5) cop(specific-8, is-6) neg(specific-8, not-7) root(ROOT-0, specific-8) case(situation-12, to-9) det(situation-12, a-10) amod(situation-12, testing-11) nmod:to(specific-8, situation-12) cc(specific-8, but-14) aux(manifest-17, may-15) cop(manifest-17, be-16) conj:but(specific-8, manifest-17) case(situation-21, in-18) det(situation-21, any-19) amod(situation-21, social-20) nmod:in(manifest-17, situation-21) nmod:for(is-25, situation-21) case(which-23, for-22) ref(situation-21, which-23) expl(is-25, there-24) acl:relcl(situation-21, is-25) det(potential-27, a-26) nsubj(is-25, potential-27) case(evaluation-29, for-28) nmod:for(potential-27, evaluation-29)  ",testing,11,"amod(situation-12, testing-11) ","is not specific to a testing situation , but may be",VBG,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],['situation'],[],[],[],[],[],[],,,,
"However , these volunteers reported that they had drunk no alcohol in the 24 hours prior to testing ( Hindmarch , 1982 ) .","However/RB ,/, these/DT volunteers/NNS reported/VBD that/IN they/PRP had/VBD drunk/NN no/DT alcohol/NN in/IN the/DT 24/CD hours/NNS prior/RB to/TO testing/NN -LRB-/-LRB- Hindmarch/NNP ,/, 1982/CD -RRB-/-RRB- ./.","advmod(reported-5, However-1) det(volunteers-4, these-3) nsubj(reported-5, volunteers-4) root(ROOT-0, reported-5) mark(had-8, that-6) nsubj(had-8, they-7) ccomp(reported-5, had-8) advmod(had-8, drunk-9) neg(alcohol-11, no-10) dobj(had-8, alcohol-11) case(hours-15, in-12) det(hours-15, the-13) nummod(hours-15, 24-14) nmod:in(alcohol-11, hours-15) advmod(hours-15, prior-16) case(testing-18, to-17) nmod:to(prior-16, testing-18) appos(hours-15, Hindmarch-20) dep(Hindmarch-20, 1982-22)  ",testing,18,"case(testing-18, to-17) nmod:to(prior-16, testing-18) ","the 24 hours prior to testing ( Hindmarch , 1982 )",NN,[],,,,,[],[],[],[],[],"[('to', 'prior')]",['to'],['prior'],[],[],[],[],[],[],[],[],['to'],[],[],,,singular,
"Such testing will not be alien to the spirit of Buddhism , which encourages enquiry and discourages dogmatic acceptance of theories and claims ( Jayatilleke , 1963 ) .","Such/JJ testing/NN will/MD not/RB be/VB alien/JJ to/TO the/DT spirit/NN of/IN Buddhism/NNP ,/, which/WDT encourages/VBZ enquiry/RB and/CC discourages/VBZ dogmatic/JJ acceptance/NN of/IN theories/NNS and/CC claims/NNS -LRB-/-LRB- Jayatilleke/NNP ,/, 1963/CD -RRB-/-RRB- ./.","amod(testing-2, Such-1) nsubj(alien-6, testing-2) aux(alien-6, will-3) neg(alien-6, not-4) cop(alien-6, be-5) root(ROOT-0, alien-6) case(spirit-9, to-7) det(spirit-9, the-8) nmod:to(alien-6, spirit-9) nsubj(encourages-14, spirit-9) nsubj(discourages-17, spirit-9) case(Buddhism-11, of-10) nmod:of(spirit-9, Buddhism-11) ref(spirit-9, which-13) acl:relcl(spirit-9, encourages-14) advmod(encourages-14, enquiry-15) cc(encourages-14, and-16) acl:relcl(spirit-9, discourages-17) conj:and(encourages-14, discourages-17) amod(acceptance-19, dogmatic-18) dobj(discourages-17, acceptance-19) case(theories-21, of-20) nmod:of(acceptance-19, theories-21) cc(theories-21, and-22) nmod:of(acceptance-19, claims-23) conj:and(theories-21, claims-23) appos(theories-21, Jayatilleke-25) dep(Jayatilleke-25, 1963-27)  ",testing,2,"amod(testing-2, Such-1) nsubj(alien-6, testing-2) ",Such testing will not be alien to,NN,[],be,VB,subject,[],[],[],[],[],[],[],[],[],[],[],[],[],['Such'],[],[],[],[],[],[],,,singular,ambiguous
"All participants had completed three or more years of high school at the time of testing , resided in New York City , and were described on intake forms as Caucasian .","All/DT participants/NNS had/VBD completed/VBN three/CD or/CC more/JJR years/NNS of/IN high/JJ school/NN at/IN the/DT time/NN of/IN testing/NN ,/, resided/VBN in/IN New/NNP York/NNP City/NNP ,/, and/CC were/VBD described/VBN on/IN intake/NN forms/NNS as/IN Caucasian/NNP ./.","det(participants-2, All-1) nsubj(completed-4, participants-2) nsubj(resided-18, participants-2) nsubjpass(described-26, participants-2) aux(completed-4, had-3) root(ROOT-0, completed-4) nummod(years-8, three-5) cc(three-5, or-6) conj:or(three-5, more-7) nummod(years-8, more-7) dobj(completed-4, years-8) case(school-11, of-9) amod(school-11, high-10) nmod:of(years-8, school-11) case(time-14, at-12) det(time-14, the-13) nmod:at(completed-4, time-14) case(testing-16, of-15) nmod:of(time-14, testing-16) conj:and(completed-4, resided-18) case(City-22, in-19) compound(City-22, New-20) compound(City-22, York-21) nmod:in(resided-18, City-22) cc(completed-4, and-24) auxpass(described-26, were-25) conj:and(completed-4, described-26) case(forms-29, on-27) compound(forms-29, intake-28) nmod:on(described-26, forms-29) case(Caucasian-31, as-30) nmod:as(described-26, Caucasian-31)  ",testing,16,"case(testing-16, of-15) nmod:of(time-14, testing-16) ","school at the time of testing , resided in New York",NN,[],,,,,[],[],[],[],[],"[('of', 'time')]",['of'],['time'],[],[],[],[],[],[],[],[],['of'],[],[],,,singular,
It is perfectly reasonable to assume that the teaching action will always have the appropriate effect if within the black box of the action one assumes that a cycle of testing and possible remediation is being performed .,It/PRP is/VBZ perfectly/RB reasonable/JJ to/TO assume/VB that/IN the/DT teaching/NN action/NN will/MD always/RB have/VB the/DT appropriate/JJ effect/NN if/IN within/IN the/DT black/JJ box/NN of/IN the/DT action/NN one/PRP assumes/VBZ that/IN a/DT cycle/NN of/IN testing/NN and/CC possible/JJ remediation/NN is/VBZ being/VBG performed/VBN ./.,"nsubj(reasonable-4, It-1) nsubj(assume-6, It-1) cop(reasonable-4, is-2) advmod(reasonable-4, perfectly-3) root(ROOT-0, reasonable-4) mark(assume-6, to-5) xcomp(reasonable-4, assume-6) mark(have-13, that-7) det(action-10, the-8) compound(action-10, teaching-9) nsubj(have-13, action-10) aux(have-13, will-11) advmod(have-13, always-12) ccomp(assume-6, have-13) det(effect-16, the-14) amod(effect-16, appropriate-15) dobj(have-13, effect-16) mark(assumes-26, if-17) case(box-21, within-18) det(box-21, the-19) amod(box-21, black-20) nmod:within(assumes-26, box-21) case(action-24, of-22) det(action-24, the-23) nmod:of(box-21, action-24) nsubj(assumes-26, one-25) advcl(reasonable-4, assumes-26) mark(performed-37, that-27) det(cycle-29, a-28) nsubjpass(performed-37, cycle-29) case(remediation-34, of-30) compound(remediation-34, testing-31) cc(testing-31, and-32) conj:and(testing-31, possible-33) compound(remediation-34, possible-33) nmod:of(cycle-29, remediation-34) aux(performed-37, is-35) auxpass(performed-37, being-36) ccomp(assumes-26, performed-37)  ",testing,31,"cc(testing-31, and-32) conj:and(testing-31, possible-33) compound(remediation-34, testing-31) ",assumes that a cycle of testing and possible remediation is being,NN,[],,,,,[],[],[],[],[],[],[],[],[],[],"[('and', 'possible')]",['remediation'],[],[],[],[],[],[],[],,,singular,
"However , much of this knowledge of what the student is assumed to know will be reinforced through on-line testing .","However/RB ,/, much/RB of/IN this/DT knowledge/NN of/IN what/WP the/DT student/NN is/VBZ assumed/VBN to/TO know/VB will/MD be/VB reinforced/VBN through/IN on-line/JJ testing/NN ./.","advmod(reinforced-17, However-1) nsubjpass(reinforced-17, much-3) case(knowledge-6, of-4) det(knowledge-6, this-5) nmod:of(much-3, knowledge-6) mark(assumed-12, of-7) dobj(know-14, what-8) det(student-10, the-9) nsubjpass(assumed-12, student-10) nsubj(know-14, student-10) auxpass(assumed-12, is-11) acl(knowledge-6, assumed-12) mark(know-14, to-13) xcomp(assumed-12, know-14) aux(reinforced-17, will-15) auxpass(reinforced-17, be-16) root(ROOT-0, reinforced-17) case(testing-20, through-18) amod(testing-20, on-line-19) nmod:through(reinforced-17, testing-20)  ",testing,20,"case(testing-20, through-18) amod(testing-20, on-line-19) nmod:through(reinforced-17, testing-20) ",will be reinforced through on-line testing .,NN,[],,,,,[],[],[],[],[],"[('through', 'reinforced')]",['through'],['reinforced'],[],[],[],[],[],[],[],[],['through'],[],[],,,singular,
"<p> The success of the plan will be evaluated on a subsequent interaction with the student to ascertain : first , whether the student has followed the plan through ; and second , how well the student has learned what was suggested through on-line testing .","<p>/VB The/DT success/NN of/IN the/DT plan/NN will/MD be/VB evaluated/VBN on/IN a/DT subsequent/JJ interaction/NN with/IN the/DT student/NN to/TO ascertain/NN :/: first/LS ,/, whether/IN the/DT student/NN has/VBZ followed/VBN the/DT plan/NN through/IN ;/: and/CC second/LS ,/, how/WRB well/RB the/DT student/NN has/VBZ learned/VBN what/WP was/VBD suggested/VBN through/IN on-line/JJ testing/NN ./.","root(ROOT-0, <p>-1) det(success-3, The-2) dobj(<p>-1, success-3) case(plan-6, of-4) det(plan-6, the-5) nmod:of(success-3, plan-6) aux(evaluated-9, will-7) auxpass(evaluated-9, be-8) acl:relcl(plan-6, evaluated-9) case(interaction-13, on-10) det(interaction-13, a-11) amod(interaction-13, subsequent-12) nmod:on(evaluated-9, interaction-13) case(student-16, with-14) det(student-16, the-15) nmod:with(interaction-13, student-16) case(ascertain-18, to-17) nmod:to(evaluated-9, ascertain-18) dobj(<p>-1, first-20) conj:and(success-3, first-20) mark(followed-26, whether-22) det(student-24, the-23) nsubj(followed-26, student-24) aux(followed-26, has-25) dep(first-20, followed-26) det(plan-28, the-27) dobj(followed-26, plan-28) nmod(followed-26, through-29) cc(success-3, and-31) dobj(<p>-1, second-32) conj:and(success-3, second-32) advmod(well-35, how-34) advmod(learned-39, well-35) det(student-37, the-36) nsubj(learned-39, student-37) aux(learned-39, has-38) dep(second-32, learned-39) nsubjpass(suggested-42, what-40) auxpass(suggested-42, was-41) ccomp(learned-39, suggested-42) case(testing-45, through-43) amod(testing-45, on-line-44) nmod:through(suggested-42, testing-45)  ",testing,45,"case(testing-45, through-43) amod(testing-45, on-line-44) nmod:through(suggested-42, testing-45) ",what was suggested through on-line testing .,NN,[],,,,,[],[],[],[],[],"[('through', 'suggested')]",['through'],['suggested'],[],[],[],[],[],[],[],[],['through'],[],[],,,singular,
"As such , the environment provides a means for directly testing student 's exploratory ability and creativity in browsing and authoring .","As/IN such/JJ ,/, the/DT environment/NN provides/VBZ a/DT means/NNS for/IN directly/RB testing/VBG student/NN 's/POS exploratory/JJ ability/NN and/CC creativity/NN in/IN browsing/VBG and/CC authoring/VBG ./.","case(such-2, As-1) nmod:as(provides-6, such-2) det(environment-5, the-4) nsubj(provides-6, environment-5) root(ROOT-0, provides-6) det(means-8, a-7) dobj(provides-6, means-8) mark(testing-11, for-9) advmod(testing-11, directly-10) advcl(provides-6, testing-11) nmod:poss(ability-15, student-12) case(student-12, 's-13) amod(ability-15, exploratory-14) dobj(testing-11, ability-15) cc(ability-15, and-16) dobj(testing-11, creativity-17) conj:and(ability-15, creativity-17) case(browsing-19, in-18) nmod:in(ability-15, browsing-19) cc(browsing-19, and-20) nmod:in(ability-15, authoring-21) conj:and(browsing-19, authoring-21)  ",testing,11,"mark(testing-11, for-9) advmod(testing-11, directly-10) dobj(testing-11, ability-15) dobj(testing-11, creativity-17) advcl(provides-6, testing-11) ",provides a means for directly testing student 's exploratory ability and,VBG,[],,,,,"['ability', 'creativity']",[],[],['for'],[],[],[],[],[],[],[],[],[],[],[],[],[],['directly'],[],,,,
